,annual_revenue,Month_on_Book,Checking_avg_Bal,Savings_avg_Bal,Loans_LOC_avg_Bal,CreditCard_avg_Bal,CDs_avg_Bal,HELoans_HELOC_avg_Bal,MMDA_avg_Bal,Branch_Visits_3_Mos,Branch_Trans_3_Mos,ATMVisits_3_Mos,ATM_Trans_3_Mos,signon_visit_3_Mos,signon_trans_3_Mos,CC_Visits_3_Mos,VRU_visits_3_Mos,BP_trans_3_Mos,RDC_trans_3_Mos,OLB_ENROLLED,OLB_ACTIVE,MOBILE_ACTIVE,Active user,Checking_flag,Savings_flag,Loans_LOC_flag,CreditCard_flag,CDs_flag,HELoans_HELOC_flag,MMDA_flag,Customer Value,Number_of_Children,Family_composition,Gender_P1,marital_status_P1,Dwelling_Type,Number_of_Adults,Length_of_Residence,Household_Age,Household_Size,HH_EDUCATION_VALUE,HH_INCOME2,Occupation,Liquid_Resources,Investment_Resources,Auto-Refinance,Credit Card,Home Equity (ITA),DirectMail_SENT,Click,Open,Send,Email_SENT
0,17.51,366,737.523333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,8.0,15.0,19.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,0,0,737.523333333333,0.0,8.0,2,1,1.0,2.0,7.0,7.0,2.0,4.0,6,14.0,8.0,5.0,0.0,0.0,0.0,0.0,1,1,1,1
1,1127.88,299,7873.70666666667,32603.1566666667,0.0,1146.36333333333,0.0,0.0,0.0,1.0,2.0,8.0,10.0,23.0,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,0,1,0,0,0,41623.2266666667,0.0,14.0,2,2,1.0,2.0,8.0,5.0,2.0,2.0,6,14.0,5.0,8.0,0.0,0.0,0.0,0.0,0,0,1,1
2,1247.33,317,3412.20333333333,0.0,0.0,4751.32333333333,0.0,0.0,0.0,3.0,4.0,23.0,37.0,15.0,20.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,1,0,0,0,8163.52666666666,0.0,6.0,1,2,1.0,2.0,8.0,4.0,2.0,3.0,2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,1,1
3,33.41,272,1187.24333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,19.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,1,0,0,0,0,0,0,1187.24333333333,0.0,14.0,2,2,5.0,1.0,4.0,2.0,1.0,4.0,4,0.0,7.0,4.0,0.0,1.0,0.0,1.0,0,1,1,1
4,647.54,355,2512.79,0.0,0.0,4769.05,0.0,0.0,0.0,0.0,0.0,9.0,16.0,21.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,1,0,0,0,7281.84,0.0,2.0,1,1,1.0,2.0,4.0,3.0,3.0,3.0,5,0.0,2.0,4.0,0.0,1.0,0.0,1.0,0,1,1,1
5,43.24,484,1919.21333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,34.0,43.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,2,1,0,0,0,0,0,0,1919.21333333333,0.0,8.0,2,1,0.0,2.0,8.0,5.0,2.0,3.0,4,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0,0,1,1
6,428.35,525,10638.8533333333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,10638.8533333333,0.0,14.0,2,1,1.0,2.0,5.0,6.0,1.0,4.0,5,6.0,11.0,8.0,0.0,0.0,0.0,0.0,0,0,1,1
7,128.28,295,3061.32666666667,0.0,0.0,482.76,0.0,0.0,0.0,0.0,0.0,6.0,11.0,18.0,20.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,2,1,0,0,1,0,0,0,3544.0866666666698,0.0,14.0,2,2,1.0,1.0,4.0,3.0,1.0,4.0,7,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0,0,1,1
8,2980.05,431,22507.89,0.0,0.0,66.48,0.0,0.0,87440.69,0.0,0.0,8.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,1,0,0,1,110015.06,0.0,2.0,1,1,1.0,2.0,8.0,7.0,2.0,2.0,2,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0,0,1,1
9,26.12,468,1703.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,56.0,77.0,0.0,0.0,37.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,0,0,1703.95,0.0,2.0,1,1,1.0,2.0,4.0,6.0,2.0,3.0,7,0.0,12.0,11.0,0.0,1.0,0.0,1.0,0,0,1,1
10,651.32,494,0.0,10970.8733333333,0.0,0.0,8300.20333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,19271.07666666664,0.0,2.0,2,1,1.0,2.0,6.0,7.0,2.0,3.0,3,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0,0,1,1
11,258.12,291,0.0,0.0,0.0,3092.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,3092.03,0.0,2.0,2,1,1.0,2.0,6.0,3.0,3.0,4.0,6,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0,0,1,1
12,1392.11,459,6708.90666666667,37880.57,0.0,2229.78,0.0,0.0,0.0,3.0,5.0,3.0,4.0,201.0,460.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,2,1,1,0,1,0,1,0,46819.25666666667,0.0,14.0,2,1,1.0,2.0,6.0,6.0,1.0,3.0,6,0.0,7.0,7.0,0.0,1.0,0.0,1.0,0,1,1,1
13,419.4,282,60.1,0.0,62.18,0.0,0.0,14700.3766666667,90.89,1.0,1.0,0.0,0.0,15.0,17.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1,1,0,1,0,0,1,1,14913.5466666667,2.0,7.0,2,2,1.0,2.0,6.0,5.0,4.0,4.0,7,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0,0,1,1
14,72.24,344,458.836666666667,0.0,0.0,2300.67333333333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,20.0,33.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,1,0,0,0,2759.509999999997,0.0,14.0,2,1,1.0,2.0,4.0,7.0,1.0,3.0,2,0.0,6.0,3.0,0.0,1.0,0.0,1.0,0,0,1,1
15,544.12,317,4671.15,0.0,0.0,0.0,0.0,0.0,16811.54,1.0,2.0,3.0,3.0,14.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,0,1,21482.690000000002,2.0,1.0,1,1,1.0,2.0,7.0,3.0,4.0,5.0,2,5.0,14.0,12.0,0.0,1.0,0.0,1.0,0,0,1,1
16,560.43,539,1696.12,0.0,0.0,3417.28,0.0,0.0,0.0,0.0,0.0,2.0,3.0,42.0,54.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,1,0,0,1,0,0,0,5113.4,0.0,14.0,2,1,1.0,2.0,8.0,6.0,1.0,2.0,4,0.0,7.0,8.0,0.0,1.0,0.0,1.0,0,0,1,1
17,296.81,287,11101.11,1222.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,1,1,0,1,0,0,0,12324.060000000001,0.0,14.0,2,2,1.0,1.0,8.0,3.0,1.0,2.0,6,10.0,2.0,3.0,0.0,1.0,0.0,1.0,0,1,1,1
