annual_revenue,Month_on_Book,Branch_Trans_3_Mos,ATM_Trans_3_Mos,signon_trans_3_Mos,CC_Visits_3_Mos,VRU_visits_3_Mos,BP_trans_3_Mos,RDC_trans_3_Mos,Checking_flag,Savings_flag,Loans_LOC_flag,CreditCard_flag,CDs_flag,HELoans_HELOC_flag,MMDA_flag,Customer_Value,Gender_P1,Household_Age,Auto_Refinance,Credit_Card,Home_Equity_ITA,Click,Open,DV,Dwelling_Type_Business,Dwelling_Type_Condo,Dwelling_Type_MobileHome,Dwelling_Type_MultiFamilyUnit,Dwelling_Type_SingleFamily,Dwelling_Type_Unknown
17,366,1,8,19,0,0,3,0,1,0,0,0,0,0,0,737.0,1,7.0,0,0,0,1,1,1,0,0,0,0,1,0
6400,350,6,0,0,0,1,0,0,1,0,0,0,1,0,0,300000.0,1,6.0,0,0,0,0,0,1,0,0,0,0,1,0
1127,299,2,10,28,0,0,0,0,1,1,0,1,0,0,0,41623.0,1,5.0,0,0,0,0,0,1,0,0,0,0,1,0
1247,317,4,37,20,0,2,0,0,1,0,0,1,0,0,0,8163.0,0,4.0,0,0,0,0,0,1,0,0,0,0,1,0
33,272,0,2,21,0,0,0,0,1,0,0,0,0,0,0,1187.0,1,2.0,0,1,0,0,1,1,0,1,0,0,0,0
647,355,0,16,23,0,0,0,0,1,0,0,1,0,0,0,7281.0,0,3.0,0,1,0,0,1,1,0,0,0,0,1,0
43,484,2,1,43,0,0,0,7,1,0,0,0,0,0,0,1919.0,1,5.0,0,0,0,0,0,1,0,0,0,0,0,1
428,525,7,2,0,0,0,0,0,1,0,0,0,0,0,0,10638.0,1,6.0,0,0,0,0,0,0,0,0,0,0,1,0
128,295,0,11,20,0,0,1,7,1,0,0,1,0,0,0,3544.0,1,3.0,0,0,0,0,0,1,0,0,0,0,1,0
2980,431,0,8,8,0,0,0,0,1,0,0,1,0,0,1,110015.0,0,7.0,0,0,0,0,0,1,0,0,0,0,1,0
26,468,0,26,77,0,0,37,0,1,0,0,0,0,0,0,1703.0,0,6.0,0,1,0,0,0,1,0,0,0,0,1,0
651,494,0,0,0,1,0,0,0,0,1,0,0,1,0,0,19271.0,1,7.0,0,0,0,0,0,0,0,0,0,0,1,0
258,291,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3092.0,1,3.0,0,0,0,0,0,1,0,0,0,0,1,0
1392,459,5,4,460,0,0,7,0,1,1,0,1,0,1,0,46819.0,1,6.0,0,1,0,0,1,1,0,0,0,0,1,0
419,282,1,0,17,2,2,0,0,1,0,1,0,0,1,1,14913.0,1,5.0,0,0,0,0,0,1,0,0,0,0,1,0
72,344,2,1,33,0,0,0,0,1,0,0,1,0,0,0,2759.0,1,7.0,0,1,0,0,0,1,0,0,0,0,1,0
544,317,2,3,15,0,0,0,0,1,0,0,0,0,0,1,21482.0,0,3.0,0,1,0,0,0,1,0,0,0,0,1,0
560,539,0,3,54,0,0,0,0,1,0,0,1,0,0,0,5113.0,1,6.0,0,1,0,0,0,1,0,0,0,0,1,0
296,287,0,1,12,0,0,0,0,1,1,0,1,0,0,0,12324.0,1,3.0,0,1,0,0,1,1,0,0,0,0,1,0
439,270,0,6,24,0,0,12,0,1,0,1,0,0,0,0,29056.0,1,4.0,0,0,0,0,0,1,0,0,0,0,1,0
386,437,3,6,20,1,0,0,0,1,1,0,0,0,0,0,11553.0,0,5.0,0,1,0,0,0,1,0,0,0,0,1,0
9,280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,5.0,0,1,0,0,0,1,0,0,0,0,1,0
47,330,0,26,43,0,0,1,4,1,0,1,0,0,0,0,980.0,0,5.0,0,0,0,0,0,1,0,0,0,0,1,0
1150,320,0,0,0,0,0,0,0,1,1,0,1,0,0,1,75001.0,1,6.0,0,0,0,0,1,1,0,0,0,0,1,0
684,412,1,0,33,0,0,31,0,1,0,0,0,0,1,0,22806.0,1,7.0,0,0,0,0,1,1,0,0,0,0,1,0
277,430,0,0,5,1,0,0,0,0,1,0,0,0,0,0,10279.0,1,6.0,0,1,0,0,0,1,0,0,0,0,1,0
532,494,0,33,85,1,1,29,6,1,0,0,1,0,0,1,3618.0,0,3.0,0,0,0,0,0,1,0,0,0,0,1,0
2684,271,15,0,108,6,7,43,0,1,0,1,1,0,1,1,84163.0,1,4.0,0,0,0,1,1,1,0,0,0,0,1,0
4832,365,0,0,0,2,2,0,0,1,0,0,1,1,0,1,67669.0,1,6.0,0,0,0,0,1,0,0,0,0,0,1,0
2545,282,0,21,91,0,1,0,2,1,0,1,1,0,0,1,42054.0,1,4.0,0,1,0,0,1,1,0,0,0,0,1,0
774,334,1,11,0,0,0,0,0,1,1,0,0,0,0,0,27550.0,0,5.0,0,1,0,0,0,1,0,0,0,0,1,0
439,344,0,74,69,0,1,0,0,1,0,0,0,0,0,1,13953.0,0,4.0,0,0,0,0,0,1,0,0,0,0,1,0
417,387,0,1,0,0,0,0,0,1,0,0,1,0,0,1,8403.0,1,7.0,0,0,0,0,0,1,0,0,0,0,1,0
