CustomerID,Region,TownSize,Gender,Age,EducationYears,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,AgeRanges,TotalDebt,TotalDebtRanges,HHIncomeRanges,DebtToIncomeRatio_2,DebtToIncomeRatio_rec,TotalLastMonth,TotalOverTenure,VoicePerMonth,EquipmentPerMonth,DataPerMonth,TotalPerMonth,TotalLastMonthBins,RevenueType,PhoneCoTenureYears,Top50_Bottom50,Top_Customers,JobCategoryNo,TotalServicesUsed
7415-IIKLBO-8VO,2,4,0,66,21,1,5,0,35000,3.2,0.0672,1.0528,1,1,2,1,2,0,0,21400,34,0,0,34,12,5211,1,72,72,1745,0,94,6619,0,0,186,13044,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,5,1.1199999999999999,1,2,32.0,2,352,21408,24.23611111111111,91.93055555555556,181.16666666666666,297,6,3,5,0,High Value,2,11
4069-WOXDZW-2Y0,1,1,1,27,20,1,0,1,89000,10.3,3.5659629999999995,5.601037,1,1,2,1,3,0,0,45000,26,1,0,9,9,2973,1,56,48,908,0,106,6120,0,0,165,9204,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,2,9.167,3,3,103.0,6,319,16232,16.214285714285715,109.28571428571429,164.35714285714286,289,6,3,4,0,High Value,1,11
3421-JRQVBI-0GE,4,2,0,70,19,1,31,1,324000,22.8,13.961808,59.910192,1,1,2,0,0,2,2,-1000,18,1,0,33,10,10107,1,70,105,2474,0,91,6087,0,0,130,8805,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,5,73.872,6,5,228.0,8,326,17366,35.34285714285714,86.95714285714286,125.78571428571429,248,6,3,5,0,High Value,4,11
8199-MOWDXQ-I84,3,3,1,58,18,0,26,1,77000,15.3,1.460844,10.320155999999999,1,0,1,0,3,0,1,37500,23,1,0,40,12,2802,1,73,64,1526,0,86,6244,0,0,134,9985,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,11.780999999999999,4,3,153.0,7,284,17755,20.904109589041095,85.53424657534246,136.78082191780823,243,6,3,5,0,High Value,6,11
5996-NSVZTW-7VD,4,3,1,76,16,1,19,0,9000,6.5,0.236925,0.348075,1,1,2,0,2,0,0,3600,28,1,1,40,15,3621,0,73,539,13585,0,50,3720,0,1,0,0,0,0,1,0,1,1,1,1,0,17,0,0,0,1,0,5,0.585,0,0,65.0,4,589,17305,186.0958904109589,50.95890410958904,0.0,237,6,2,5,0,High Value,3,5
4157-SFKIZN-I6C,5,4,0,69,17,1,18,1,64000,12.0,2.5344,5.1456,1,1,2,1,0,2,2,-1000,28,1,0,40,14,8027,0,73,193,4753,0,64,4638,0,0,79,5648,0,0,0,0,0,0,0,0,0,22,0,1,1,0,0,5,7.68,3,3,120.0,6,336,15039,65.10958904109589,63.534246575342465,77.36986301369863,206,6,3,5,0,High Value,1,11
1068-MWHNDT-1WC,5,4,0,68,22,1,25,0,32000,6.4,0.46694399999999997,1.581056,1,0,1,0,3,0,0,16800,29,1,1,22,8,1896,1,42,38,605,0,75,2976,0,0,119,4867,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,5,2.048,1,2,64.0,4,232,8448,14.404761904761905,70.85714285714286,115.88095238095238,201,5,3,3,0,High Value,4,11
7356-SBPGQV-W7S,3,1,1,68,19,1,25,0,11000,10.6,0.645964,0.5200359999999999,1,1,3,0,3,1,0,7400,31,0,0,40,10,2105,1,73,236,5875,0,56,3889,0,0,69,4912,0,0,1,0,0,0,0,0,1,24,0,0,1,1,0,5,1.166,1,1,106.0,6,361,14676,80.47945205479452,53.273972602739725,67.28767123287672,201,6,3,5,0,High Value,6,10
3385-SXGCON-MA7,3,1,0,50,20,1,4,1,100000,3.6,0.7559999999999999,2.844,1,1,2,0,0,2,2,-1000,19,1,1,22,13,3144,1,51,30,597,0,89,4359,0,0,97,5119,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,4,3.5999999999999996,2,3,36.0,2,216,10075,11.705882352941176,85.47058823529412,100.37254901960785,197,5,3,4,0,High Value,2,10
8639-PHNKZL-7YL,4,1,0,75,20,1,38,0,279000,4.3,5.974506,6.022494,1,1,2,1,1,0,0,84000,26,1,1,37,8,8879,0,72,115,2808,0,69,4931,0,0,91,6461,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,5,11.997,4,5,43.0,3,275,14200,39.0,68.48611111111111,89.73611111111111,197,6,3,5,0,High Value,6,11
