Date,Month,Sub-Category,Description,Account Name,Transaction Type,Count,Category Number,Sub-Category Number,Category,Budget,Expense Type,Expense Type Factor,Forecast Amount,Budget Amount,Amount,Cash
2017-07-03,2017-07-03,Fast Food,Burger King,Venture,debit,1,2,3,Food & Dining,Est,Reducable,0.5,6.75,3.375,-6.75,9255.58
2017-07-03,2017-07-03,Fast Food,McDonald's,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,7.4,3.7,-7.4,9255.58
2017-07-03,2017-07-03,Gas & Fuel,Cumberland Farms,CHECKING,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,30.61,15.305,-30.61,9255.58
2017-07-03,2017-07-03,Gas Stn Snacks/Beer,Gulf,Venture,debit,1,2,4,Food & Dining,Est,Reducable,0.8,6.39,5.112,-6.39,9255.58
2017-07-03,2017-07-03,Gas Stn Snacks/Beer,Shell,Venture,debit,1,2,4,Food & Dining,Est,Reducable,0.8,3.58,2.8640000000000003,-3.58,9255.58
2017-07-03,2017-07-03,Groceries,Hannaford,CHECKING,debit,1,2,5,Food & Dining,Est,Reducable,1.2,190.55,228.66,-190.55,9255.58
2017-07-03,2017-07-03,Pet Food & Supplies,Petco,CHECKING,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-4.99,9255.58
2017-07-03,2017-07-03,Pharmacy,WWW.CAREMARK.COM,Venture,debit,1,6,4,Health & Fitness,Input,Reducable,0.7,0.0,0.0,-25.46,9255.58
2017-07-03,2017-07-03,Veterinary,Petco,Venture,debit,1,8,10,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-63.0,9255.58
2017-07-04,2017-07-04,Coffee Shops,Aroma Joes,Venture,debit,1,2,2,Food & Dining,Est,Reducable,1.1,5.5,6.050000000000001,-5.5,8916.85
2017-07-04,2017-07-04,Fast Food,Lone Oak Ice Cream,Venture,debit,1,2,3,Food & Dining,Est,Reducable,0.5,20.85,10.425,-20.85,8916.85
2017-07-04,2017-07-04,Gas & Fuel,UNIFIED PARK,Venture,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,10.5,5.25,-10.5,8916.85
2017-07-04,2017-07-04,Movies & DVDs,CINEMAGIC THEATER,Venture,debit,1,11,3,Entertainment,Est,Discretionary,0.1,18.73,1.8730000000000002,-18.73,8916.85
2017-07-04,2017-07-04,Pharmacy,CVS,Venture,debit,1,6,4,Health & Fitness,Input,Reducable,0.7,0.0,0.0,-0.78,8916.85
2017-07-05,2017-07-05,Fast Food,Burger King,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,1.09,0.545,-1.09,8860.49
2017-07-05,2017-07-05,Gas & Fuel,Exxon,CHECKING,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,30.58,15.29,-30.58,8860.49
2017-07-05,2017-07-05,Misc Shopping,Federal Cigar,CHECKING,debit,1,10,6,Shopping,Input,Discretionary,1.0,0.0,0.0,-5.35,8860.49
2017-07-05,2017-07-05,Restaurants,RIVER HOUSE Restaurants,Venture,debit,1,2,6,Food & Dining,Est,Reducable,1.5,45.0,67.5,-45.0,8860.49
2017-07-05,2017-07-05,Ron - Student Loans,Ron - Assist w/ Student Loan,CHECKING,credit,1,30,4,Income,Input,Fixed,1.0,0.0,0.0,250.0,8860.49
2017-07-05,2017-07-05,Student Loan,NelNet Student Loan,CHECKING,debit,1,0,3,Loans,Input,Fixed,1.0,0.0,0.0,-152.9,8860.49
2017-07-06,2017-07-06,Gas Stn Snacks/Beer,SUNOCO 0598351500,Venture,debit,1,2,4,Food & Dining,Est,Reducable,0.8,7.32,5.856000000000001,-7.32,8875.57
2017-07-06,2017-07-06,Music,iTunes,CHECKING,debit,1,11,4,Entertainment,Est,Discretionary,0.1,3.87,0.387,-3.87,8875.57
2017-07-06,2017-07-06,Paycheck,Liberty Mutual,CHECKING,credit,1,30,1,Income,Input,Fixed,1.0,0.0,0.0,1216.81,8875.57
2017-07-07,2017-07-07,Fast Food,McDonald's,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,6.19,3.095,-6.19,10081.189999999999
2017-07-07,2017-07-07,Mortgage & Rent,Pennymac Loan,CHECKING,debit,1,0,2,Loans,Input,Fixed,1.0,0.0,0.0,-793.99,10081.189999999999
2017-07-07,2017-07-07,Paycheck,KLA Diabetes Care,CHECKING,credit,1,30,1,Income,Input,Fixed,1.0,0.0,0.0,523.25,10081.189999999999
2017-07-07,2017-07-07,Student Loan,Navient,CHECKING,debit,1,0,3,Loans,Input,Fixed,1.0,0.0,0.0,-330.0,10081.189999999999
2017-07-08,2017-07-08,Restaurants,FRIENDLY'S ICE CRE,Venture,debit,1,2,6,Food & Dining,Est,Reducable,1.5,18.0,27.0,-18.0,9474.259999999998
2017-07-10,2017-07-10,Cable/ Internet,Time Warner,CHECKING,debit,1,1,2,Bills & Utilities,Input,Fixed,1.0,0.0,0.0,-152.2,9456.259999999998
2017-07-10,2017-07-10,Coffee Shops,Aroma Joes,CHECKING,debit,1,2,2,Food & Dining,Est,Reducable,1.1,2.5,2.75,-2.5,9456.259999999998
2017-07-10,2017-07-10,Coffee Shops,Dunkin Donuts,CHECKING,debit,1,2,2,Food & Dining,Est,Reducable,1.1,5.64,6.204,-5.64,9456.259999999998
2017-07-10,2017-07-10,Groceries,Hannaford,CHECKING,debit,1,2,5,Food & Dining,Est,Reducable,1.2,101.49,121.78799999999998,-101.49,9456.259999999998
2017-07-10,2017-07-10,Movies & DVDs,Redbox,CHECKING,debit,1,11,3,Entertainment,Est,Discretionary,0.1,3.0,0.30000000000000004,-3.0,9456.259999999998
2017-07-10,2017-07-10,Pet Food & Supplies,Amazon,CHECKING,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-13.99,9456.259999999998
2017-07-10,2017-07-10,Restaurants,Friendly Ice Cre,CHECKING,debit,1,2,6,Food & Dining,Est,Reducable,1.5,3.26,4.89,-3.26,9456.259999999998
2017-07-10,2017-07-10,Restaurants,Wdh Cafeteria Caf,CHECKING,debit,1,2,6,Food & Dining,Est,Reducable,1.5,2.24,3.3600000000000003,-2.24,9456.259999999998
2017-07-10,2017-07-10,Subscriptions,Netflix,CHECKING,debit,1,7,1,Subscriptions,Input,Fixed,1.0,0.0,0.0,-9.99,9456.259999999998
2017-07-11,2017-07-11,Fast Food,WONTONS,Venture,debit,1,2,3,Food & Dining,Est,Reducable,0.5,27.47,13.735,-27.47,9161.949999999999
2017-07-11,2017-07-11,Gas & Fuel,Cumberland Farms,CHECKING,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,27.41,13.705,-27.41,9161.949999999999
2017-07-11,2017-07-11,Gas Stn Snacks/Beer,Circle K,CHECKING,debit,1,2,4,Food & Dining,Est,Reducable,0.8,4.38,3.504,-4.38,9161.949999999999
2017-07-11,2017-07-11,Mobile Phone,Verizon Wireless,Venture,debit,1,1,4,Bills & Utilities,Input,Fixed,1.0,0.0,0.0,-179.2,9161.949999999999
2017-07-11,2017-07-11,Pet Food & Supplies,Amazon,CHECKING,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-32.19,9161.949999999999
2017-07-13,2017-07-13,Gas Stn Snacks/Beer,Circle K,Venture,debit,1,2,4,Food & Dining,Est,Reducable,0.8,9.18,7.344,-9.18,8891.3
2017-07-14,2017-07-14,Home Supplies/Servic,TRUGREEN,Venture,debit,1,5,4,Home,Est,Reducable,0.8,79.95,63.96000000000001,-79.95,8882.119999999999
2017-07-14,2017-07-14,Mortgage & Rent,Pennymac Loan,CHECKING,debit,1,0,2,Loans,Input,Fixed,1.0,0.0,0.0,-2020.81,8882.119999999999
2017-07-14,2017-07-14,Other Income,Share Deposit,CHECKING,credit,1,30,5,Income,Input,Fixed,1.0,0.0,0.0,2100.0,8882.119999999999
2017-07-14,2017-07-14,Restaurants,THE FARMERS KITCHEN,Venture,debit,1,2,6,Food & Dining,Est,Reducable,1.5,30.2,45.3,-30.2,8882.119999999999
2017-07-14,2017-07-14,Service & Parts,Meineke,Venture,debit,1,4,5,Auto & Transport,Input,Fixed,1.0,0.0,0.0,-53.8,8882.119999999999
2017-07-14,2017-07-14,Subscriptions,iTunes,CHECKING,debit,1,7,1,Subscriptions,Input,Fixed,1.0,0.0,0.0,-6.98,8882.119999999999
2017-07-15,2017-07-15,Fast Food,KFC,Venture,debit,1,2,3,Food & Dining,Est,Reducable,0.5,11.65,5.825,-11.65,8790.38
2017-07-17,2017-07-17,Fast Food,Taco Bell,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,10.02,5.01,-10.02,8778.73
