Date,Month,Sub-Category,Description,Account Name,Transaction Type,Count,Amount,Transfer Type
2017-07-03,2017-07-03,Transfer,Transfer from BABY,CHECKING,credit,1,-50.2,In
2017-07-03,2017-07-03,Transfer,Transfer from HOUSE,CREDIT CARD,credit,1,-105.11,In
2017-07-03,2017-07-03,Transfer,Transfer to CREDIT CARD,SAFETY NET,debit,1,-105.11,Out
2017-07-03,2017-07-03,Transfer,Transfer to SERVICE CHECKING,EMERSYN,debit,1,-50.2,Out
2017-07-05,2017-07-05,Transfer,Transfer from HOUSE,CHECKING,credit,2,-80.0,In
2017-07-05,2017-07-05,Transfer,Transfer from HOUSE,CREDIT CARD,credit,1,-60.0,In
2017-07-05,2017-07-05,Transfer,Transfer from SERVICE CHECKING,SAFETY NET,credit,1,-40.0,In
2017-07-05,2017-07-05,Transfer,Transfer to CREDIT CARD,SAFETY NET,debit,1,-60.0,Out
2017-07-05,2017-07-05,Transfer,Transfer to HOUSE,CHECKING,debit,1,-40.0,Out
2017-07-05,2017-07-05,Transfer,Transfer to SERVICE CHECKING,SAFETY NET,debit,2,-80.0,Out
2017-07-06,2017-07-06,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,1,-180.0,In
2017-07-06,2017-07-06,Transfer,Transfer to CREDIT CARD,CHECKING,debit,1,-180.0,Out
2017-07-11,2017-07-11,Transfer,Transfer from SERVICE CHECKING,MORTGAGE,credit,1,-174.94,In
2017-07-11,2017-07-11,Transfer,Transfer to CLUB SAVINGS,CHECKING,debit,1,-174.94,Out
2017-07-12,2017-07-12,Transfer,Transfer from HOUSE,CHECKING,credit,1,-2020.0,In
2017-07-12,2017-07-12,Transfer,Transfer to SERVICE CHECKING,SAFETY NET,debit,1,-2020.0,Out
2017-07-14,2017-07-14,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,1,-300.0,In
2017-07-14,2017-07-14,Transfer,Transfer to CREDIT CARD,CHECKING,debit,1,-300.0,Out
2017-07-17,2017-07-17,Transfer,Transfer from SERVICE CHECKING,SAFETY NET,credit,1,-20.0,In
2017-07-17,2017-07-17,Transfer,Transfer to HOUSE,CHECKING,debit,1,-20.0,Out
2017-07-18,2017-07-18,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,2,-450.0,In
2017-07-18,2017-07-18,Transfer,Transfer from SERVICE CHECKING,EMERSYN,credit,1,-450.0,In
2017-07-18,2017-07-18,Transfer,Transfer from SERVICE CHECKING,SAFETY NET,credit,1,-300.0,In
2017-07-18,2017-07-18,Transfer,Transfer to BABY,CHECKING,debit,1,-450.0,Out
2017-07-18,2017-07-18,Transfer,Transfer to CREDIT CARD,CHECKING,debit,2,-450.0,Out
2017-07-18,2017-07-18,Transfer,Transfer to HOUSE,CHECKING,debit,1,-300.0,Out
2017-07-20,2017-07-20,Transfer,Capital One,Venture,credit,1,-1520.0,In
2017-07-20,2017-07-20,Transfer,Transfer from CLUB SAVINGS,CHECKING,credit,1,-605.0,In
2017-07-20,2017-07-20,Transfer,Transfer from CREDIT CARD,CHECKING,credit,1,-1520.22,In
2017-07-20,2017-07-20,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,2,-225.0,In
2017-07-20,2017-07-20,Transfer,Transfer from SERVICE CHECKING,MORTGAGE,credit,1,-430.0,In
2017-07-20,2017-07-20,Transfer,Transfer to CLUB SAVINGS,CHECKING,debit,1,-430.0,Out
2017-07-20,2017-07-20,Transfer,Transfer to CREDIT CARD,CHECKING,debit,2,-225.0,Out
2017-07-20,2017-07-20,Transfer,Transfer to SERVICE CHECKING,CREDIT CARD,debit,1,-1520.22,Out
2017-07-20,2017-07-20,Transfer,Transfer to SERVICE CHECKING,MORTGAGE,debit,1,-605.0,Out
2017-07-21,2017-07-21,Transfer,Capital One,CHECKING,debit,1,-1520.0,Out
2017-07-24,2017-07-24,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,1,-200.0,In
2017-07-24,2017-07-24,Transfer,Transfer from SERVICE CHECKING,SAFETY NET,credit,1,-200.0,In
2017-07-24,2017-07-24,Transfer,Transfer to CREDIT CARD,CHECKING,debit,1,-200.0,Out
2017-07-24,2017-07-24,Transfer,Transfer to HOUSE,CHECKING,debit,1,-200.0,Out
2017-07-26,2017-07-26,Transfer,Transfer from HOUSE,CREDIT CARD,credit,1,-165.79,In
2017-07-26,2017-07-26,Transfer,Transfer to CREDIT CARD,SAFETY NET,debit,1,-165.79,Out
2017-08-03,2017-08-03,Transfer,Capital One,Venture,credit,1,-1165.0,In
2017-08-03,2017-08-03,Transfer,Transfer from BABY,CHECKING,credit,1,-200.23,In
2017-08-03,2017-08-03,Transfer,Transfer from CREDIT CARD,CHECKING,credit,1,-365.87,In
2017-08-03,2017-08-03,Transfer,Transfer from SERVICE CHECKING,MORTGAGE,credit,1,-709.99,In
2017-08-03,2017-08-03,Transfer,Transfer to CLUB SAVINGS,CHECKING,debit,1,-709.99,Out
2017-08-03,2017-08-03,Transfer,Transfer to SERVICE CHECKING,CREDIT CARD,debit,1,-365.87,Out
2017-08-03,2017-08-03,Transfer,Transfer to SERVICE CHECKING,EMERSYN,debit,1,-200.23,Out
2017-08-04,2017-08-04,Transfer,Capital One,CHECKING,debit,1,-1165.0,Out
2017-08-07,2017-08-07,Transfer,Transfer from BABY,CHECKING,credit,1,-100.0,In
2017-08-07,2017-08-07,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,1,-175.0,In
2017-08-07,2017-08-07,Transfer,Transfer to CREDIT CARD,CHECKING,debit,1,-175.0,Out
2017-08-07,2017-08-07,Transfer,Transfer to SERVICE CHECKING,EMERSYN,debit,1,-100.0,Out
2017-08-14,2017-08-14,Transfer,Transfer from HOUSE,CREDIT CARD,credit,1,-504.44,In
2017-08-14,2017-08-14,Transfer,Transfer to CREDIT CARD,SAFETY NET,debit,1,-504.44,Out
2017-08-17,2017-08-17,Transfer,Capital One,Venture,credit,1,-1374.31,In
2017-08-17,2017-08-17,Transfer,Transfer from CREDIT CARD,CHECKING,credit,1,-679.44,In
2017-08-17,2017-08-17,Transfer,Transfer to SERVICE CHECKING,CREDIT CARD,debit,1,-679.44,Out
2017-08-18,2017-08-18,Transfer,Capital One,CHECKING,debit,1,-1374.31,Out
2017-08-18,2017-08-18,Transfer,Transfer from SERVICE CHECKING,MORTGAGE,credit,1,-710.0,In
2017-08-18,2017-08-18,Transfer,Transfer to CLUB SAVINGS,CHECKING,debit,1,-710.0,Out
2017-08-24,2017-08-24,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,1,-100.0,In
2017-08-24,2017-08-24,Transfer,Transfer to CREDIT CARD,CHECKING,debit,1,-100.0,Out
2017-08-28,2017-08-28,Transfer,Transfer from BABY,CHECKING,credit,1,-50.0,In
2017-08-28,2017-08-28,Transfer,Transfer to SERVICE CHECKING,EMERSYN,debit,1,-50.0,Out
2017-08-31,2017-08-31,Transfer,Transfer from CLUB SAVINGS,CHECKING,credit,1,-1420.0,In
2017-08-31,2017-08-31,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,1,-220.0,In
2017-08-31,2017-08-31,Transfer,Transfer from SERVICE CHECKING,MORTGAGE,credit,1,-710.0,In
2017-08-31,2017-08-31,Transfer,Transfer to CLUB SAVINGS,CHECKING,debit,1,-710.0,Out
2017-08-31,2017-08-31,Transfer,Transfer to CREDIT CARD,CHECKING,debit,1,-220.0,Out
2017-08-31,2017-08-31,Transfer,Transfer to SERVICE CHECKING,MORTGAGE,debit,1,-1420.0,Out
2017-09-05,2017-09-05,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,1,-100.0,In
2017-09-05,2017-09-05,Transfer,Transfer to CREDIT CARD,CHECKING,debit,1,-100.0,Out
2017-09-06,2017-09-06,Transfer,Transfer from BABY,CREDIT CARD,credit,1,-500.34,In
2017-09-06,2017-09-06,Transfer,Transfer from HOUSE,CHECKING,credit,1,-403.94,In
2017-09-06,2017-09-06,Transfer,Transfer to CREDIT CARD,EMERSYN,debit,1,-500.34,Out
2017-09-06,2017-09-06,Transfer,Transfer to SERVICE CHECKING,SAFETY NET,debit,1,-403.94,Out
2017-09-08,2017-09-08,Transfer,Transfer from HOUSE,CREDIT CARD,credit,1,-595.0,In
2017-09-08,2017-09-08,Transfer,Transfer to CREDIT CARD,SAFETY NET,debit,1,-595.0,Out
2017-09-11,2017-09-11,Transfer,Transfer from BABY,CHECKING,credit,1,-50.0,In
2017-09-11,2017-09-11,Transfer,Transfer to SERVICE CHECKING,EMERSYN,debit,1,-50.0,Out
2017-09-13,2017-09-13,Transfer,Capital One,Venture,credit,1,-1615.0,In
2017-09-13,2017-09-13,Transfer,Transfer from CREDIT CARD,CHECKING,credit,1,-1615.38,In
2017-09-13,2017-09-13,Transfer,Transfer to SERVICE CHECKING,CREDIT CARD,debit,1,-1615.38,Out
2017-09-14,2017-09-14,Transfer,Capital One,CHECKING,debit,1,-1615.0,Out
2017-09-14,2017-09-14,Transfer,Transfer from HOUSE,CHECKING,credit,1,-20.0,In
2017-09-14,2017-09-14,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,2,-310.0,In
2017-09-14,2017-09-14,Transfer,Transfer from SERVICE CHECKING,MORTGAGE,credit,1,-710.0,In
2017-09-14,2017-09-14,Transfer,Transfer from SERVICE CHECKING,SAFETY NET,credit,1,-20.0,In
2017-09-14,2017-09-14,Transfer,Transfer to CLUB SAVINGS,CHECKING,debit,1,-710.0,Out
2017-09-14,2017-09-14,Transfer,Transfer to CREDIT CARD,CHECKING,debit,2,-310.0,Out
2017-09-14,2017-09-14,Transfer,Transfer to HOUSE,CHECKING,debit,1,-20.0,Out
2017-09-14,2017-09-14,Transfer,Transfer to SERVICE CHECKING,SAFETY NET,debit,1,-20.0,Out
2017-09-21,2017-09-21,Transfer,Transfer from BABY,CREDIT CARD,credit,1,-150.0,In
2017-09-21,2017-09-21,Transfer,Transfer from SERVICE CHECKING,CREDIT CARD,credit,1,-175.0,In
2017-09-21,2017-09-21,Transfer,Transfer to CREDIT CARD,CHECKING,debit,1,-175.0,Out
2017-09-21,2017-09-21,Transfer,Transfer to CREDIT CARD,EMERSYN,debit,1,-150.0,Out
2017-09-25,2017-09-25,Transfer,Transfer from BABY,CHECKING,credit,1,-50.0,In
2017-09-25,2017-09-25,Transfer,Transfer from CLUB SAVINGS,CHECKING,credit,1,-1420.16,In
2017-09-25,2017-09-25,Transfer,Transfer to SERVICE CHECKING,EMERSYN,debit,1,-50.0,Out
2017-09-25,2017-09-25,Transfer,Transfer to SERVICE CHECKING,MORTGAGE,debit,1,-1420.16,Out
